rank,qwwords,length_x,qwerty,qw_dpl,qw_dpj,dvwords,length_y,dvorak,dv_dpl,dv_dpj,cowords,length_x,colemak,co_dpl,co_dpj,wowords,length_y,workman,wo_dpl,wo_dpj
6,REDRESSER,9,148.22,16.469,18.528,PUPPYFISH,9,253.59,28.177,31.699,WARCRAFTS,9,218.53,24.281,27.316,MADRASSAH,9,208.75,23.194,26.094
7,ADDRESSED,9,148.22,16.469,18.528,EQUIPPING,9,258.78,28.753,32.347,UNKENNING,9,221.61,24.623,27.701,DRAHTHAAR,9,210.15,23.35,26.269
8,REDRESSED,9,148.81,16.534,18.601,RHIPIDIUM,9,263.97,29.33,32.996,UNKENNELS,9,221.97,24.663,27.746,EELBLENNY,9,210.26,23.362,26.282
9,ADDRESSES,9,152.39,16.932,19.049,PUPPYFOOT,9,265.61,29.512,33.201,EMBARRASS,9,223.42,24.824,27.928,OPPONENTS,9,210.73,23.414,26.341
10,REDRESSES,9,152.98,16.998,19.122,JOYPOPPED,9,266.89,29.654,33.361,NUMMULINE,9,223.72,24.858,27.965,PENNUCKLE,9,217.82,24.202,27.228
11,READDRESS,9,162.22,18.024,20.278,HICCUPPED,9,268.37,29.819,33.546,RADDLEMEN,9,225.79,25.088,28.224,NINEPENNY,9,219.07,24.341,27.384
12,GRASSWEED,9,163.61,18.179,20.451,EQUIPPERS,9,270.66,30.073,33.832,HULLOOING,9,226.29,25.143,28.286,BRASSARTS,9,221.59,24.621,27.699
13,GREEGREES,9,169.8,18.867,21.225,EPHIPPIUM,9,276.06,30.673,34.508,UNLENIENT,9,226.34,25.149,28.292,UNGLEEFUL,9,222.44,24.716,27.805
14,SWEETWEED,9,172.63,19.181,21.579,DIFFIDENT,9,276.22,30.691,34.528,UMBELLULE,9,226.87,25.208,28.359,PUPPYFEET,9,224.34,24.927,28.042
15,DEERGRASS,9,174.46,19.384,21.808,PUPPYHOOD,9,276.69,30.743,34.586,TUNNELMEN,9,228.32,25.369,28.54,UNLEVELLY,9,224.63,24.959,28.079
1,ASSERTRESS,10,142.87,14.287,15.874,HITCHHIKED,10,289.59,28.959,32.177,KENNELLING,10,234.85,23.485,26.094,THREEPENNY,10,226.22,22.622,25.136
2,ADDRESSEES,10,152.39,15.239,16.932,REEQUIPPED,10,297.32,29.732,33.036,UNKENNELED,10,235.68,23.568,26.187,FUNNELLING,10,229.75,22.975,25.528
3,DESERTRESS,10,167.27,16.727,18.586,LIGHTTIGHT,10,303.8,30.38,33.756,UNMEEKNESS,10,236.35,23.635,26.261,FUNNELLIKE,10,238.18,23.818,26.464
4,REASSESSED,10,167.57,16.757,18.619,BEEKEEPING,10,315.43,31.543,35.048,MILLENNIUM,10,237.78,23.778,26.42,KENNELLING,10,240.28,24.028,26.698
5,REASSESSES,10,171.74,17.174,19.082,HYPOPYGIUM,10,326.7,32.67,36.3,UNKNEELING,10,247.87,24.787,27.541,PENELOPINE,10,243.88,24.388,27.098
