distance,qwerty,dvorak,colemak,workman
46.91,;I,SC,OU,IU
30.49,;O,SR,OY,IP
19.64,;P,SL,O;,I;
171.45,;A,SA,OA,IA
152.4,;S,SO,OR,IS
133.35,;D,SE,OS,IH
114.3,;F,SU,OT,IT
95.25,;G,SI,OD,IG
76.2,;H,SD,OH,IY
57.15,;J,SH,ON,IN
38.1,;K,ST,OE,IE
19.05,;L,SN,OI,IO
0.0,;;,SS,OO,II
163.04,;Z,S;,OZ,IZ
144.14,;X,SQ,OX,IX
125.28,;C,SJ,OC,IM
106.49,;V,SK,OV,IC
87.82,;B,SX,OB,IV
69.34,;N,SB,OK,IK
51.29,;M,SM,OM,IL
34.34,";,",SW,"O,","I,"
21.3,;.,SV,O.,I.
21.3,;/,SZ,O/,I/
40.69,ZQ,;',ZQ,ZQ
38.4,ZW,";,",ZW,ZD
44.93,ZE,;.,ZF,ZR
57.35,ZR,;P,ZP,ZW
72.7,ZT,;Y,ZG,ZB
89.48,ZY,;F,ZJ,ZJ
107.02,ZU,;G,ZL,ZF
125.01,ZI,;C,ZU,ZU
143.27,ZO,;R,ZY,ZP
161.71,ZP,;L,Z;,Z;
21.3,ZA,;A,ZA,ZA
21.3,ZS,;O,ZR,ZS
34.34,ZD,;E,ZS,ZH
51.29,ZF,;U,ZT,ZT
69.34,ZG,;I,ZD,ZG
87.82,ZH,;D,ZH,ZY
106.49,ZJ,;H,ZN,ZN
125.28,ZK,;T,ZE,ZE
144.14,ZL,;N,ZI,ZO
163.04,Z;,;S,ZO,ZI
0.0,ZZ,;;,ZZ,ZZ
19.05,ZX,;Q,ZX,ZX
38.1,ZC,;J,ZC,ZM
57.15,ZV,;K,ZV,ZC
76.2,ZB,;X,ZB,ZV
95.25,ZN,;B,ZK,ZK
114.3,ZM,;M,ZM,ZL
133.35,"Z,",;W,"Z,","Z,"
152.4,Z.,;V,Z.,Z.
171.45,Z/,;Z,Z/,Z/
50.63,XQ,Q',XQ,XQ
40.69,XW,"Q,",XW,XD
38.4,XE,Q.,XF,XR
44.93,XR,QP,XP,XW
57.35,XT,QY,XG,XB
72.7,XY,QF,XJ,XJ
89.48,XU,QG,XL,XF
107.02,XI,QC,XU,XU
125.01,XO,QR,XY,XP
143.27,XP,QL,X;,X;
34.34,XA,QA,XA,XA
21.3,XS,QO,XR,XS
21.3,XD,QE,XS,XH
34.34,XF,QU,XT,XT
51.29,XG,QI,XD,XG
69.34,XH,QD,XH,XY
87.82,XJ,QH,XN,XN
106.49,XK,QT,XE,XE
125.28,XL,QN,XI,XO
144.14,X;,QS,XO,XI
19.05,XZ,Q;,XZ,XZ
0.0,XX,QQ,XX,XX
19.05,XC,QJ,XC,XM
38.1,XV,QK,XV,XC
57.15,XB,QX,XB,XV
76.2,XN,QB,XK,XK
95.25,XM,QM,XM,XL
114.3,"X,",QW,"X,","X,"
133.35,X.,QV,X.,X.
152.4,X/,QZ,X/,X/
64.78,CQ,J',CQ,MQ
50.63,CW,"J,",CW,MD
40.69,CE,J.,CF,MR
38.4,CR,JP,CP,MW
44.93,CT,JY,CG,MB
57.35,CY,JF,CJ,MJ
72.7,CU,JG,CL,MF
89.48,CI,JC,CU,MU
107.02,CO,JR,CY,MP
125.01,CP,JL,C;,M;
51.29,CA,JA,CA,MA
34.34,CS,JO,CR,MS
21.3,CD,JE,CS,MH
21.3,CF,JU,CT,MT
34.34,CG,JI,CD,MG
51.29,CH,JD,CH,MY
69.34,CJ,JH,CN,MN
87.82,CK,JT,CE,ME
106.49,CL,JN,CI,MO
125.28,C;,JS,CO,MI
38.1,CZ,J;,CZ,MZ
19.05,CX,JQ,CX,MX
0.0,CC,JJ,CC,MM
19.05,CV,JK,CV,MC
38.1,CB,JX,CB,MV
57.15,CN,JB,CK,MK
76.2,CM,JM,CM,ML
95.25,"C,",JW,"C,","M,"
114.3,C.,JV,C.,M.
133.35,C/,JZ,C/,M/
80.96,VQ,K',VQ,CQ
64.78,VW,"K,",VW,CD
